O_LINENO,O_TERMINALNO,O_TIME,O_LONGITUDE,O_LATITUDE,O_UP,sub_time_stamp,stationno
1,901530,2017-10-13 06:04:04,117.192,39.1209,0,131.0,4
1,901530,2017-10-13 06:05:42,117.187,39.1229,0,98.0,5
1,901530,2017-10-13 06:08:21,117.178,39.1252,0,159.0,6
1,901530,2017-10-13 06:10:28,117.18,39.1288,0,127.0,7
1,901530,2017-10-13 06:12:42,117.186,39.1329,0,84.0,9
1,901530,2017-10-13 06:15:12,117.181,39.136,0,125.0,11
1,901530,2017-10-13 06:16:42,117.18,39.1394,0,90.0,12
1,901530,2017-10-13 06:21:11,117.189,39.152,0,159.0,15
1,901530,2017-10-13 06:23:51,117.193,39.1557,0,160.0,16
1,901530,2017-10-13 06:25:35,117.196,39.1591,0,70.0,18
1,901530,2017-10-13 06:28:21,117.2,39.163,0,166.0,19
1,901530,2017-10-13 06:30:07,117.211,39.1651,0,106.0,20
1,901530,2017-10-13 06:33:03,117.22,39.1671,0,94.0,23
1,901530,2017-10-13 06:34:43,117.216,39.1701,0,100.0,24
1,901530,2017-10-13 06:37:16,117.225,39.1767,0,71.0,27
1,901530,2017-10-13 06:41:56,117.234,39.1725,0,130.0,31
1,901530,2017-10-13 07:56:17,117.199,39.1259,0,100.0,2
1,901530,2017-10-13 07:57:47,117.195,39.1225,0,90.0,3
1,901530,2017-10-13 07:59:47,117.192,39.1207,0,120.0,4
1,901530,2017-10-13 08:01:57,117.187,39.1227,0,130.0,5
1,901530,2017-10-13 08:06:48,117.178,39.1253,0,291.0,6
1,901530,2017-10-13 08:09:28,117.179,39.1288,0,160.0,7
1,901530,2017-10-13 08:10:36,117.183,39.1294,0,68.0,8
1,901530,2017-10-13 08:14:16,117.186,39.1329,0,220.0,9
1,901530,2017-10-13 08:15:52,117.186,39.1348,0,96.0,10
1,901530,2017-10-13 08:17:47,117.182,39.136,0,115.0,11
1,901530,2017-10-13 08:20:17,117.18,39.1393,0,150.0,12
1,901530,2017-10-13 08:21:37,117.18,39.1421,0,80.0,13
1,901530,2017-10-13 08:22:46,117.182,39.1431,0,69.0,14
1,901530,2017-10-13 08:27:15,117.189,39.1518,0,269.0,15
1,901530,2017-10-13 08:30:25,117.192,39.1554,0,190.0,16
1,901530,2017-10-13 08:32:55,117.196,39.1591,0,90.0,18
1,901530,2017-10-13 08:35:31,117.2,39.1628,0,156.0,19
1,901530,2017-10-13 08:38:19,117.211,39.165,0,168.0,20
1,901530,2017-10-13 08:42:25,117.22,39.1669,0,160.0,23
1,901530,2017-10-13 08:45:35,117.216,39.1699,0,190.0,24
1,901530,2017-10-13 08:46:36,117.218,39.173,0,61.0,25
1,901530,2017-10-13 08:47:56,117.221,39.1743,0,80.0,26
1,901530,2017-10-13 08:49:22,117.225,39.1766,0,86.0,27
1,901530,2017-10-13 08:53:39,117.233,39.1727,0,120.0,31
1,901530,2017-10-13 10:02:55,117.199,39.1258,0,110.0,2
1,901530,2017-10-13 10:05:05,117.195,39.1225,0,130.0,3
1,901530,2017-10-13 10:07:19,117.192,39.1207,0,134.0,4
1,901530,2017-10-13 10:09:39,117.186,39.1228,0,140.0,5
1,901530,2017-10-13 10:14:29,117.178,39.1252,0,290.0,6
1,901530,2017-10-13 10:17:06,117.18,39.1288,0,157.0,7
1,901530,2017-10-13 10:20:27,117.186,39.1328,0,155.0,9
1,901530,2017-10-13 10:21:43,117.186,39.1349,0,76.0,10
1,901530,2017-10-13 10:24:47,117.181,39.1359,0,184.0,11
1,901530,2017-10-13 10:27:37,117.18,39.1395,0,170.0,12
1,901530,2017-10-13 10:32:52,117.189,39.1519,0,195.0,15
1,901530,2017-10-13 10:36:32,117.192,39.1553,0,220.0,16
1,901530,2017-10-13 10:38:00,117.195,39.1575,0,88.0,17
1,901530,2017-10-13 10:39:50,117.197,39.1592,0,110.0,18
1,901530,2017-10-13 10:41:53,117.2,39.1626,0,123.0,19
1,901530,2017-10-13 10:45:54,117.211,39.165,0,241.0,20
1,901530,2017-10-13 10:47:14,117.214,39.165,0,80.0,21
1,901530,2017-10-13 10:48:24,117.218,39.1653,0,70.0,22
1,901530,2017-10-13 10:50:25,117.22,39.167,0,121.0,23
1,901530,2017-10-13 10:53:15,117.215,39.1698,0,170.0,24
1,901530,2017-10-13 10:54:45,117.218,39.1728,0,90.0,25
1,901530,2017-10-13 10:56:05,117.221,39.1742,0,80.0,26
1,901530,2017-10-13 10:58:15,117.225,39.1767,0,130.0,27
1,901530,2017-10-13 10:59:35,117.229,39.1774,0,80.0,28
1,901530,2017-10-13 11:03:36,117.234,39.1722,0,131.0,31
1,901530,2017-10-13 12:24:52,117.195,39.1226,0,81.0,3
1,901530,2017-10-13 12:26:42,117.192,39.1204,0,110.0,4
1,901530,2017-10-13 12:28:30,117.186,39.1228,0,108.0,5
1,901530,2017-10-13 12:32:00,117.177,39.1251,0,210.0,6
1,901530,2017-10-13 12:33:59,117.179,39.129,0,119.0,7
1,901530,2017-10-13 12:38:10,117.186,39.1328,0,200.0,9
1,901530,2017-10-13 12:39:40,117.185,39.1348,0,90.0,10
1,901530,2017-10-13 12:50:34,117.189,39.1517,0,263.0,15
1,901530,2017-10-13 12:52:34,117.189,39.1519,0,120.0,16
1,901530,2017-10-13 12:54:14,117.197,39.1594,0,70.0,18
1,901530,2017-10-13 12:56:44,117.2,39.163,0,150.0,19
1,901530,2017-10-13 12:58:57,117.211,39.1649,0,133.0,20
1,901530,2017-10-13 13:03:13,117.219,39.167,0,146.0,23
