stationno,weekday,hour,sub_time_stamp
2,6,8,175.1489362
3,6,8,77
4,6,8,89
5,6,8,99
6,6,8,205
7,6,8,132
8,6,8,74
9,6,8,139
10,6,8,102
11,6,8,161
12,6,8,140
13,6,8,69
14,6,9,70
15,6,9,203
16,6,9,170
17,6,9,79
18,6,9,81
19,6,9,159
20,6,9,193
21,6,9,76.23076923
22,6,9,86.86956522
23,6,9,100
24,6,9,161
25,6,9,68
26,6,9,74
27,6,9,110
28,6,9,80
29,6,9,70.11111111
30,6,9,70
31,6,9,370
2,6,13,80
3,6,13,250
4,6,13,98
5,6,13,220
6,6,13,178
7,6,13,168
8,6,13,74
9,6,13,241
10,6,13,86
11,6,13,67
12,6,13,131
13,6,13,70
14,6,13,80.34285714
15,6,13,175
16,6,13,200
17,6,13,75.85714286
18,6,13,70
19,6,13,161
20,6,13,154
21,6,13,76.23076923
22,6,13,86.86956522
23,6,13,121
24,6,13,160
25,6,13,77.59090909
26,6,14,61
27,6,14,79
28,6,14,78.85185185
29,6,14,70.11111111
30,6,14,95.9047619
31,6,14,321
2,6,16,110
3,6,16,300
4,6,16,129
5,6,16,290
6,6,16,264
7,6,16,149
8,6,16,74
9,6,16,150
10,6,16,85
11,6,16,84
12,6,16,150
13,6,16,100
14,6,16,80.34285714
15,6,17,282
16,6,17,120
17,6,17,75.85714286
18,6,17,90
19,6,17,120
20,6,17,172
21,6,17,76.23076923
22,6,17,86.86956522
23,6,17,110
24,6,17,160
25,6,17,77.59090909
26,6,17,74.66666667
27,6,17,120
28,6,17,80
29,6,17,70.11111111
30,6,17,70
31,6,17,1125
2,0,5,175.1489362
3,0,6,167
4,0,6,96
5,0,6,90
6,0,6,173
7,0,6,71
8,0,6,74
9,0,6,80
10,0,6,88.34146341
11,0,6,130
12,0,6,110
13,0,6,215
14,0,6,80.34285714
15,0,6,182
17,0,6,75.85714286
16,0,6,150
18,0,6,92.4516129
19,0,6,81
20,0,6,140
21,0,6,76.23076923
22,0,6,70
23,0,6,89
24,0,6,100
25,0,6,77.59090909
26,0,6,74.66666667
28,0,6,78.85185185
27,0,6,91
29,0,6,70.11111111
30,0,6,95.9047619
31,0,6,310
2,0,8,70
3,0,8,111
4,0,8,89
5,0,8,102
6,0,8,139
7,0,8,110
8,0,8,74
9,0,8,140
10,0,8,78
11,0,8,145
12,0,8,130
13,0,8,80
14,0,8,90
15,0,8,224
16,0,8,170
17,0,8,70
18,0,8,120
19,0,8,170
20,0,8,170
21,0,8,76.23076923
22,0,8,86.86956522
23,0,9,105
24,0,9,160
25,0,9,77.59090909
26,0,9,74.66666667
27,0,9,90
28,0,9,70
29,0,9,70
30,0,9,90
31,0,9,350
2,0,11,175.1489362
3,0,11,167
4,0,11,130
5,0,11,182.4705882
6,0,11,251.9142857
7,0,11,130.8405797
8,0,11,74
9,0,11,150
10,0,11,80
11,0,11,200
12,0,11,150
13,0,11,80
14,0,11,130
15,0,11,271
16,0,11,116
17,0,11,75.85714286
18,0,11,132
19,0,11,106
20,0,11,165
21,0,11,76.23076923
22,0,11,80
23,0,11,100
24,0,11,130
25,0,11,77.59090909
26,0,11,65
27,0,11,110
28,0,11,90
29,0,12,70.11111111
30,0,12,95.9047619
31,0,12,110
2,1,6,175.1489362
3,1,6,167
4,1,6,76
5,1,6,85
6,1,6,136
7,1,6,116
8,1,6,74
9,1,6,80
10,1,6,88.34146341
11,1,6,134
12,1,6,100
13,1,6,87.55319149
14,1,6,80.34285714
15,1,6,181
16,1,6,130
17,1,6,75.85714286
18,1,6,71
19,1,6,109
20,1,6,150
21,1,6,76.23076923
22,1,6,86.86956522
23,1,6,91
25,1,6,77.59090909
24,1,6,100
26,1,6,74.66666667
28,1,6,78.85185185
27,1,6,101
29,1,6,70.11111111
30,1,6,95.9047619
31,1,6,639
2,1,8,175.1489362
3,1,8,102
4,1,8,104
5,1,8,70
6,1,8,209
7,1,8,106
8,1,8,74
9,1,8,121
10,1,8,80
11,1,8,160
12,1,8,109
13,1,8,81
14,1,8,80.34285714
15,1,8,235
16,1,8,139
17,1,8,75.85714286
18,1,8,87
19,1,8,163
21,1,8,76.23076923
20,1,8,164
22,1,8,86.86956522
23,1,8,80
24,1,8,140
25,1,8,77.59090909
26,1,8,74.66666667
27,1,8,91
28,1,8,90
29,1,8,70.11111111
30,1,9,95.9047619
31,1,9,190
2,1,10,340
3,1,10,420
4,1,10,100
5,1,10,200
6,1,10,216
7,1,10,185
8,1,10,74
9,1,11,271
10,1,11,110
11,1,11,135
12,1,11,170
13,1,11,87.55319149
14,1,11,150
15,1,11,310
17,1,11,75.85714286
16,1,11,140
18,1,11,92.4516129
19,1,11,151.2676056
20,1,11,153
21,1,11,70
22,1,11,86.86956522
23,1,11,120
24,1,11,110
25,1,11,77.59090909
26,1,11,74.66666667
27,1,11,70
28,1,11,70
29,1,11,70.11111111
30,1,11,95.9047619
31,1,11,410
2,2,8,175.1489362
3,2,8,100
4,2,8,97
5,2,8,139
6,2,8,157
7,2,8,89
8,2,8,74
9,2,8,88
10,2,8,88.34146341
11,2,8,160
12,2,8,159
13,2,8,70
14,2,8,61
15,2,8,234
16,2,8,130
17,2,8,75.85714286
18,2,8,70
19,2,8,151
20,2,8,151
21,2,8,76.23076923
22,2,8,80
23,2,8,100
24,2,8,149
25,2,8,77.59090909
26,2,8,74.66666667
27,2,8,111
29,2,8,70.11111111
28,2,8,70
30,2,8,95.9047619
31,2,8,140
2,2,10,175.1489362
3,2,10,167
4,2,10,135.9848485
5,2,10,140
6,2,10,281
7,2,10,150
8,2,10,74
9,2,10,143
10,2,10,88.34146341
11,2,10,170
12,2,10,120
13,2,10,90
14,2,10,80.34285714
15,2,10,340
16,2,11,160
17,2,11,75.85714286
18,2,11,90
19,2,11,131
20,2,11,219
21,2,11,76.23076923
22,2,11,86.86956522
23,2,11,149
24,2,11,200
25,2,11,77.59090909
26,2,11,74.66666667
27,2,11,90
28,2,11,70
29,2,11,70.11111111
30,2,11,95.9047619
31,2,11,141
2,2,16,640
3,2,16,431
4,2,16,120
5,2,16,210
6,2,16,141
7,2,16,146
8,2,16,74
9,2,16,172
10,2,16,91
11,2,16,105
12,2,17,200
13,2,17,100
14,2,17,92
15,2,17,269
16,2,17,210
17,2,17,75.85714286
18,2,17,110
19,2,17,80
20,2,17,185
21,2,17,76.23076923
22,2,17,86.86956522
23,2,17,100
24,2,17,150
25,2,17,77.59090909
26,2,17,64
27,2,17,95.22727273
29,2,17,70.11111111
28,2,17,71
30,2,17,95.9047619
31,2,17,230
2,3,8,70
3,3,8,90
4,3,8,88
5,3,8,121
6,3,8,166
7,3,8,90
8,3,8,74
9,3,8,202
10,3,8,88.34146341
11,3,8,129
12,3,8,111
13,3,8,79
14,3,8,61
15,3,8,263
16,3,8,171
17,3,8,75.85714286
18,3,8,89
19,3,8,131
20,3,8,151
21,3,8,76.23076923
22,3,8,86.86956522
23,3,8,99
24,3,8,140
25,3,9,70
26,3,9,74.66666667
27,3,9,129
28,3,9,78.85185185
29,3,9,70.11111111
30,3,9,61
31,3,9,129
2,3,10,175.1489362
3,3,10,167
4,3,10,100
5,3,10,290
6,3,11,199
7,3,11,110
8,3,11,74
9,3,11,214
10,3,11,128
11,3,11,163
12,3,11,150
13,3,11,150
14,3,11,70
15,3,11,466
16,3,11,190
17,3,11,70
18,3,11,99
19,3,11,190
20,3,11,184
21,3,11,76.23076923
22,3,11,86.86956522
23,3,11,111
24,3,11,120
