stationno,O_LINENO,O_TERMINALNO,O_TIME,O_LONGITUDE,O_LATITUDE,O_UP,sub_time_stamp,time_stamp
2,1.0,901530.0,2017-10-01 08:38:15,117.199,39.1258,0.0,175.14893617021278,1506818295.0
3,1.0,901530.0,2017-10-01 08:39:32,117.195,39.1224,0.0,77.0,1506818372.0
4,1.0,901530.0,2017-10-01 08:41:01,117.19200000000001,39.1207,0.0,89.0,1506818461.0
5,1.0,901530.0,2017-10-01 08:42:40,117.18700000000001,39.1228,0.0,99.0,1506818560.0
6,1.0,901530.0,2017-10-01 08:46:05,117.178,39.1253,0.0,205.0,1506818765.0
7,1.0,901530.0,2017-10-01 08:48:17,117.18,39.1287,0.0,132.0,1506818897.0
8,1.0,901530.0,2017-10-01 08:48:57,117.18299999999999,39.1296,0.0,74.0,1506818937.0
9,1.0,901530.0,2017-10-01 08:51:16,117.18700000000001,39.1323,0.0,139.0,1506819076.0
10,1.0,901530.0,2017-10-01 08:52:58,117.185,39.1348,0.0,102.0,1506819178.0
11,1.0,901530.0,2017-10-01 08:55:39,117.182,39.135999999999996,0.0,161.0,1506819339.0
12,1.0,901530.0,2017-10-01 08:57:59,117.18,39.1394,0.0,140.0,1506819479.0
13,1.0,901530.0,2017-10-01 08:59:08,117.18,39.1421,0.0,69.0,1506819548.0
14,1.0,901530.0,2017-10-01 09:00:18,117.182,39.1431,0.0,70.0,1506819618.0
15,1.0,901530.0,2017-10-01 09:03:41,117.189,39.1516,0.0,203.0,1506819821.0
16,1.0,901530.0,2017-10-01 09:06:31,117.19200000000001,39.1553,0.0,170.0,1506819991.0
17,1.0,901530.0,2017-10-01 09:07:50,117.195,39.1574,0.0,79.0,1506820070.0
18,1.0,901530.0,2017-10-01 09:09:11,117.197,39.1594,0.0,81.0,1506820151.0
19,1.0,901530.0,2017-10-01 09:11:50,117.2,39.1628,0.0,159.0,1506820310.0
20,1.0,901530.0,2017-10-01 09:15:03,117.211,39.165,0.0,193.0,1506820503.0
